,Name,Overall,Potential,Performance,Country,Club,Preferred Foot,Weak Foot,Skill Moves,Height,Offensive Work Rate,Defensive Work Rate,Value,Wage,ID,Crosses,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,Goalkeeping Diving,Goalkeeping Handling,Goalkeeping Kicking,Goalkeeping Positioning,Goalkeeping Reflexes,player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
2269,Cristhian Mosquera,66,82,74.0,Spain,Valencia CF,Right,3,2,188,Medium,Medium,€2M,€2K,264846,39,34,70,61,29,42,30,28,59,54,63,60,65,60,67,53,73,65,63,42,66,67,25,52,33,55,66,68,68,8,6,13,8,7,264846,/player/264846/cristhian-mosquera-ibarguen/230002,23.0,2.0,2022-09-26,Cristhian Mosquera,Cristhian Andrey Mosquera Ibarguen,CB,66,82,2000000.0,2000.0,18,2004-06-27,188,79,461.0,Valencia,53.0,La Liga,1.0,RES,33.0,,2021-07-01,2025.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,5500000.0,,Power Header,61.0,39.0,51.0,51.0,67.0,65.0,39,34,70,61,29,42,30,28,59,54,63,60,65,60,67,53,73,65,63,42,66,67,25,52,33,55.0,66,68,68,8,6,13,8,7,,48+2,48+2,48+2,48,48,48,48,48,50+2,50+2,50+2,50+2,55+2,55+2,55+2,50+2,60+2,63+2,63+2,63+2,60+2,62+2,66+2,66+2,66+2,62+2,13+2
2270,K. Boateng,71,77,74.0,Togo,Santa Clara,Right,3,2,191,Medium,Medium,€2.6M,€4K,238987,42,31,68,54,41,38,33,25,47,56,66,72,53,71,56,67,70,74,82,41,72,70,28,30,36,52,73,72,70,6,8,6,14,10,173909,/player/173909/kevin-prince-boateng/230002,23.0,2.0,2022-09-26,K. Boateng,Kevin-Prince Boateng,"CAM, CM, CDM",74,74,1700000.0,19000.0,35,1987-03-06,186,77,166.0,Hertha BSC,19.0,2. Bundesliga,1.0,SUB,27.0,,2021-07-01,2023.0,117,Ghana,,,,Right,4,4,3,Medium/Medium,Normal (185+),Yes,3100000.0,,"Leadership, Flair, Long Shot Taker (AI), Outside Foot Shot, Team Player",48.0,74.0,74.0,77.0,65.0,69.0,70,71,71,76,77,78,75,71,75,80,53,43,67,72,70,80,75,44,78,75,77,64,76,75,68,81.0,58,69,65,6,11,15,16,6,,73+1,73+1,73+1,72,73,73,73,72,74,74,74,70+3,73+1,73+1,73+1,70+3,65+3,70+3,70+3,70+3,65+3,64+3,69+3,69+3,69+3,64+3,17+3
2271,K. Boateng,71,77,74.0,Togo,Santa Clara,Right,3,2,191,Medium,Medium,€2.6M,€4K,238987,42,31,68,54,41,38,33,25,47,56,66,72,53,71,56,67,70,74,82,41,72,70,28,30,36,52,73,72,70,6,8,6,14,10,238987,/player/238987/kennedy-boateng/230002,23.0,2.0,2022-09-26,K. Boateng,Kennedy Kofi Boateng,CB,71,77,2600000.0,4000.0,25,1996-11-29,191,78,1438.0,Santa Clara,308.0,Liga Portugal,1.0,RCB,4.0,,2021-07-03,2023.0,144,Togo,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,5900000.0,,Solid Player,69.0,41.0,43.0,48.0,71.0,77.0,42,31,68,54,41,38,33,25,47,56,66,72,53,71,56,67,70,74,82,41,72,70,28,30,36,52.0,73,72,70,6,8,6,14,10,,52+2,52+2,52+2,47,48,48,48,47,46+2,46+2,46+2,49+2,51+2,51+2,51+2,49+2,63+2,64+2,64+2,64+2,63+2,66+2,71+2,71+2,71+2,66+2,16+2
2272,K. Boateng,74,74,74.0,Ghana,Hertha BSC,Right,4,4,186,Medium,Medium,€1.7M,€19K,173909,70,71,71,76,77,78,75,71,75,80,53,43,67,72,70,80,75,44,78,75,77,64,76,75,68,81,58,69,65,6,11,15,16,6,173909,/player/173909/kevin-prince-boateng/230002,23.0,2.0,2022-09-26,K. Boateng,Kevin-Prince Boateng,"CAM, CM, CDM",74,74,1700000.0,19000.0,35,1987-03-06,186,77,166.0,Hertha BSC,19.0,2. Bundesliga,1.0,SUB,27.0,,2021-07-01,2023.0,117,Ghana,,,,Right,4,4,3,Medium/Medium,Normal (185+),Yes,3100000.0,,"Leadership, Flair, Long Shot Taker (AI), Outside Foot Shot, Team Player",48.0,74.0,74.0,77.0,65.0,69.0,70,71,71,76,77,78,75,71,75,80,53,43,67,72,70,80,75,44,78,75,77,64,76,75,68,81.0,58,69,65,6,11,15,16,6,,73+1,73+1,73+1,72,73,73,73,72,74,74,74,70+3,73+1,73+1,73+1,70+3,65+3,70+3,70+3,70+3,65+3,64+3,69+3,69+3,69+3,64+3,17+3
2273,K. Boateng,74,74,74.0,Ghana,Hertha BSC,Right,4,4,186,Medium,Medium,€1.7M,€19K,173909,70,71,71,76,77,78,75,71,75,80,53,43,67,72,70,80,75,44,78,75,77,64,76,75,68,81,58,69,65,6,11,15,16,6,238987,/player/238987/kennedy-boateng/230002,23.0,2.0,2022-09-26,K. Boateng,Kennedy Kofi Boateng,CB,71,77,2600000.0,4000.0,25,1996-11-29,191,78,1438.0,Santa Clara,308.0,Liga Portugal,1.0,RCB,4.0,,2021-07-03,2023.0,144,Togo,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,5900000.0,,Solid Player,69.0,41.0,43.0,48.0,71.0,77.0,42,31,68,54,41,38,33,25,47,56,66,72,53,71,56,67,70,74,82,41,72,70,28,30,36,52.0,73,72,70,6,8,6,14,10,,52+2,52+2,52+2,47,48,48,48,47,46+2,46+2,46+2,49+2,51+2,51+2,51+2,49+2,63+2,64+2,64+2,64+2,63+2,66+2,71+2,71+2,71+2,66+2,16+2
2274,João Ferreira,69,79,74.0,Portugal,Rio Ave FC,Right,3,2,185,Medium,High,€3M,€4K,252577,64,31,52,63,46,62,53,32,46,65,77,78,56,68,60,69,65,70,67,35,65,67,53,47,44,63,62,68,67,5,11,13,15,13,252577,/player/252577/joao-diogo-fonseca-ferreira/230002,23.0,2.0,2022-09-26,João Ferreira,João Diogo Fonseca Ferreira,RB,69,79,3000000.0,4000.0,21,2001-03-22,185,79,744.0,Rio Ave,308.0,Liga Portugal,1.0,SUB,13.0,Benfica,,2023.0,38,Portugal,,,,Right,3,2,1,Medium/High,Normal (185+),Yes,,,,78.0,42.0,55.0,63.0,64.0,67.0,64,31,52,63,46,62,53,32,46,65,77,78,56,68,60,69,65,70,67,35,65,67,53,47,44,63.0,62,68,67,5,11,13,15,13,,56+2,56+2,56+2,59,58,58,58,59,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,67+2,63+2,63+2,63+2,67+2,67+2,65+2,65+2,65+2,67+2,17+2
2275,Chumi,70,78,74.0,Spain,Unión Deportiva Almería,Right,3,2,186,Medium,Medium,€3.3M,€11K,241810,38,30,66,67,33,51,34,36,50,65,49,54,39,68,57,47,82,58,73,36,72,69,34,41,50,62,71,73,70,7,14,9,11,14,241810,/player/241810/juan-brandariz-movilla/230002,23.0,2.0,2022-09-26,Chumi,Juan Brandáriz Movilla,"CB, RB",70,78,3300000.0,11000.0,23,1999-03-02,186,78,1861.0,Almería,53.0,La Liga,1.0,SUB,21.0,,2020-09-10,2025.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,7900000.0,,,52.0,36.0,50.0,56.0,71.0,70.0,38,30,66,67,33,51,34,36,50,65,49,54,39,68,57,47,82,58,73,36,72,69,34,41,50,62.0,71,73,70,7,14,9,11,14,,50+2,50+2,50+2,49,50,50,50,49,51+2,51+2,51+2,51+2,56+2,56+2,56+2,51+2,62+2,66+2,66+2,66+2,62+2,63+2,70+2,70+2,70+2,63+2,18+2
2276,J. Ramírez,74,74,74.0,Argentina,Boca Juniors,Left,1,3,174,High,Medium,€4.1M,€16K,214665,64,67,47,75,49,82,68,56,71,79,84,79,82,71,75,68,33,81,60,68,72,66,72,72,67,73,66,67,64,12,13,9,6,10,252164,/player/252164/jesus-ramirez/230002,23.0,2.0,2022-09-26,J. Ramírez,Jesús Andrés Ramírez Díaz,ST,63,68,725000.0,2000.0,24,1998-05-04,174,68,1893.0,Marítimo,308.0,Liga Portugal,1.0,RES,11.0,,2021-06-30,2024.0,61,Venezuela,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1600000.0,,,74.0,62.0,56.0,63.0,35.0,51.0,44,65,67,61,52,63,44,43,57,62,71,77,72,63,67,62,44,76,47,58,32,33,60,67,59,47.0,27,36,28,5,14,14,6,8,,63+2,63+2,63+2,63,64,64,64,63,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,51+2,48+2,48+2,48+2,51+2,49+2,42+2,42+2,42+2,49+2,15+2
2277,J. Ramírez,61,73,67.0,Venezuela,Deportivo Táchira FC,Right,3,3,169,Medium,Medium,€800K,€500,253898,60,56,40,62,48,62,50,42,54,61,69,67,73,54,61,55,54,62,57,48,33,19,60,50,58,64,30,24,31,14,12,11,13,7,252164,/player/252164/jesus-ramirez/230002,23.0,2.0,2022-09-26,J. Ramírez,Jesús Andrés Ramírez Díaz,ST,63,68,725000.0,2000.0,24,1998-05-04,174,68,1893.0,Marítimo,308.0,Liga Portugal,1.0,RES,11.0,,2021-06-30,2024.0,61,Venezuela,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1600000.0,,,74.0,62.0,56.0,63.0,35.0,51.0,44,65,67,61,52,63,44,43,57,62,71,77,72,63,67,62,44,76,47,58,32,33,60,67,59,47.0,27,36,28,5,14,14,6,8,,63+2,63+2,63+2,63,64,64,64,63,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,51+2,48+2,48+2,48+2,51+2,49+2,42+2,42+2,42+2,49+2,15+2
2278,J. Ramírez,63,68,65.5,Venezuela,Clube Sport Marítimo,Right,3,2,174,Medium,Medium,€725K,€2K,252164,44,65,67,61,52,63,44,43,57,62,71,77,72,63,67,62,44,76,47,58,32,33,60,67,59,47,27,36,28,5,14,14,6,8,252164,/player/252164/jesus-ramirez/230002,23.0,2.0,2022-09-26,J. Ramírez,Jesús Andrés Ramírez Díaz,ST,63,68,725000.0,2000.0,24,1998-05-04,174,68,1893.0,Marítimo,308.0,Liga Portugal,1.0,RES,11.0,,2021-06-30,2024.0,61,Venezuela,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1600000.0,,,74.0,62.0,56.0,63.0,35.0,51.0,44,65,67,61,52,63,44,43,57,62,71,77,72,63,67,62,44,76,47,58,32,33,60,67,59,47.0,27,36,28,5,14,14,6,8,,63+2,63+2,63+2,63,64,64,64,63,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,51+2,48+2,48+2,48+2,51+2,49+2,42+2,42+2,42+2,49+2,15+2
2279,J. Ramírez,61,68,64.5,Colombia,Deportivo Cali,Right,2,2,174,Medium,Medium,€625K,€650,261500,43,56,47,62,30,60,38,52,60,65,64,65,60,50,75,60,60,69,60,61,61,60,65,62,55,55,65,55,55,9,10,9,15,8,252164,/player/252164/jesus-ramirez/230002,23.0,2.0,2022-09-26,J. Ramírez,Jesús Andrés Ramírez Díaz,ST,63,68,725000.0,2000.0,24,1998-05-04,174,68,1893.0,Marítimo,308.0,Liga Portugal,1.0,RES,11.0,,2021-06-30,2024.0,61,Venezuela,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1600000.0,,,74.0,62.0,56.0,63.0,35.0,51.0,44,65,67,61,52,63,44,43,57,62,71,77,72,63,67,62,44,76,47,58,32,33,60,67,59,47.0,27,36,28,5,14,14,6,8,,63+2,63+2,63+2,63,64,64,64,63,63+2,63+2,63+2,63+2,60+2,60+2,60+2,63+2,51+2,48+2,48+2,48+2,51+2,49+2,42+2,42+2,42+2,49+2,15+2
2280,A. Yakubu,70,78,74.0,Ghana,Rio Ave FC,Right,3,2,187,High,Low,€3.6M,€6K,248788,43,73,69,55,56,64,46,37,42,63,83,86,70,70,62,67,74,68,81,62,40,19,71,56,72,58,16,12,15,11,8,15,15,10,248788,/player/248788/abdul-aziz-yakubu/230002,23.0,2.0,2022-09-26,A. Yakubu,Abdul-Aziz Yakubu,ST,70,78,3600000.0,6000.0,23,1998-11-10,187,79,744.0,Rio Ave,308.0,Liga Portugal,1.0,ST,81.0,,2021-08-01,2024.0,117,Ghana,,,,Right,3,2,1,High/Low,Normal (185+),No,8300000.0,,Power Header,85.0,69.0,50.0,64.0,21.0,69.0,43,73,69,55,56,64,46,37,42,63,83,86,70,70,62,67,74,68,81,62,40,19,71,56,72,58.0,16,12,15,11,8,15,15,10,,70+2,70+2,70+2,65,67,67,67,65,64+2,64+2,64+2,63+2,55+2,55+2,55+2,63+2,45+2,41+2,41+2,41+2,45+2,43+2,39+2,39+2,39+2,43+2,18+2
2281,O. Christensen,70,78,74.0,Denmark,Hertha BSC,Right,2,1,190,Medium,Medium,€3.1M,€10K,236758,10,5,9,47,5,16,16,11,44,19,37,38,33,63,34,47,64,42,64,6,32,13,6,65,10,47,14,13,11,76,64,63,63,76,236758,/player/236758/oliver-christensen/230002,23.0,2.0,2022-09-26,O. Christensen,Oliver Christensen,GK,70,78,3100000.0,10000.0,23,1999-03-22,190,82,166.0,Hertha BSC,19.0,2. Bundesliga,1.0,GK,32.0,,2021-08-26,2026.0,13,Denmark,1331.0,SUB,20.0,Right,2,1,1,Medium/Medium,Normal (185+),Yes,6200000.0,,Rushes Out Of Goal,,,,,,,10,5,9,47,5,16,16,11,44,19,37,38,33,63,34,47,64,42,64,6,32,13,6,65,10,47.0,14,13,11,76,64,63,63,76,37.0,25+2,25+2,25+2,26,28,28,28,26,33+2,33+2,33+2,30+2,36+2,36+2,36+2,30+2,26+2,32+2,32+2,32+2,26+2,24+2,25+2,25+2,25+2,24+2,69+2
2282,F. Fazio,74,74,74.0,Argentina,US Salernitana 1919,Right,3,2,195,Low,Medium,€1.1M,€15K,179847,44,41,85,64,35,44,40,37,60,75,33,34,31,70,33,58,43,53,83,26,76,73,32,48,26,76,72,78,73,8,9,12,11,14,179847,/player/179847/federico-fazio/230002,23.0,2.0,2022-09-26,F. Fazio,Federico Julián Fazio,CB,74,74,1100000.0,15000.0,35,1987-03-17,195,85,110373.0,Salernitana,31.0,Serie A,1.0,LCB,17.0,,2022-01-29,2024.0,52,Argentina,,,,Right,3,2,3,Low/Medium,Normal (185+),Yes,2000000.0,#Aerial Threat,Power Header,34.0,40.0,54.0,54.0,75.0,72.0,44,41,85,64,35,44,40,37,60,75,33,34,31,70,33,58,43,53,83,26,76,73,32,48,26,76.0,72,78,73,8,9,12,11,14,,54+3,54+3,54+3,48,51,51,51,48,52+3,52+3,52+3,51+3,59+3,59+3,59+3,51+3,62+3,69+3,69+3,69+3,62+3,64+3,74,74,74,64+3,17+3
2283,L. Milivojević,74,74,74.0,Serbia,Crystal Palace,Right,2,2,186,Medium,High,€3M,€39K,206304,72,63,72,77,52,61,74,80,75,73,48,46,59,71,61,82,59,52,74,75,82,74,65,64,88,74,74,74,67,13,9,16,6,12,206304,/player/206304/luka-milivojevic/230002,23.0,2.0,2022-09-26,L. Milivojević,Luka Milivojević,"CDM, CM",74,74,3000000.0,39000.0,31,1991-04-07,186,80,1799.0,Crystal Palace,13.0,Premier League,1.0,SUB,4.0,,2017-02-01,2023.0,51,Serbia,,,,Right,2,2,1,Medium/High,Normal (185+),Yes,5700000.0,,"Long Passer (AI), Long Shot Taker (AI)",47.0,70.0,73.0,66.0,73.0,69.0,72,63,72,77,52,61,74,80,75,73,48,46,59,71,61,82,59,52,74,75,82,74,65,64,88,74.0,74,74,67,13,9,16,6,12,,68+2,68+2,68+2,65,67,67,67,65,67+2,67+2,67+2,65+2,70+2,70+2,70+2,65+2,68+2,73+1,73+1,73+1,68+2,68+2,73+1,73+1,73+1,68+2,17+2
2284,Gonçalo Paciência,74,74,74.0,Portugal,RC Celta de Vigo,Right,4,4,184,Medium,Low,€4.6M,€22K,216452,42,76,84,64,78,77,67,47,51,76,52,41,72,75,73,77,78,67,81,72,79,37,77,74,80,78,21,30,23,9,8,14,12,7,216452,/player/216452/goncalo-mendes-paciencia/230002,23.0,2.0,2022-09-26,Gonçalo Paciência,Gonçalo Mendes Paciência,ST,74,74,4600000.0,22000.0,27,1994-08-01,184,80,450.0,Celta de Vigo,53.0,La Liga,1.0,LS,9.0,,2022-08-06,2025.0,38,Portugal,,,,Right,4,4,1,Medium/Low,Normal (170-185),No,9700000.0,,"Flair, Power Header",46.0,76.0,59.0,76.0,33.0,77.0,42,76,84,64,78,77,67,47,51,76,52,41,72,75,73,77,78,67,81,72,79,37,77,74,80,78.0,21,30,23,9,8,14,12,7,,74,74,74,68,72,72,72,68,71+2,71+2,71+2,66+2,66+2,66+2,66+2,66+2,49+2,53+2,53+2,53+2,49+2,46+2,50+2,50+2,50+2,46+2,17+2
2285,D. Nikolaou,71,77,74.0,Greece,Spezia,Left,2,2,188,Low,Medium,€2.7M,€9K,237040,40,25,70,58,25,30,24,29,60,55,49,51,42,65,47,67,77,61,87,50,75,68,29,26,49,59,72,72,70,8,15,9,5,15,237040,/player/237040/dimitrios-nikolaou/230002,23.0,2.0,2022-09-26,D. Nikolaou,Dimitrios Nikolaou,CB,70,76,2300000.0,8000.0,23,1998-08-13,188,92,110741.0,Spezia,31.0,Serie B,1.0,LCB,43.0,,2021-08-10,2026.0,22,Greece,,,,Left,2,2,1,Low/Medium,Normal (185+),No,4600000.0,,,54.0,40.0,45.0,43.0,71.0,76.0,40,25,70,58,25,30,24,29,60,55,53,55,42,65,50,67,77,64,82,50,75,68,29,26,49,59.0,72,72,70,8,15,9,5,15,,49+2,49+2,49+2,43,44,44,44,43,44+2,44+2,44+2,45+2,51+2,51+2,51+2,45+2,60+2,64+2,64+2,64+2,60+2,63+2,70+2,70+2,70+2,63+2,17+2
2286,E. Bičakčić,74,74,74.0,Bosnia and Herzegovina,TSG Hoffenheim,Right,3,2,185,Medium,Medium,€2.7M,€26K,201860,38,24,76,60,42,35,32,28,58,55,34,53,54,73,61,59,75,32,82,45,85,76,33,41,36,63,74,76,72,11,11,15,15,12,201860,/player/201860/ermin-bicakcic/230002,23.0,2.0,2022-09-26,E. Bičakčić,Ermin Bičakčić,CB,74,74,2700000.0,26000.0,32,1990-01-24,185,85,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,4.0,,2014-07-01,2023.0,8,Bosnia and Herzegovina,,,,Right,3,2,2,Medium/Medium,Normal (185+),Yes,4600000.0,,"Injury Prone, Dives Into Tackles (AI)",44.0,37.0,49.0,48.0,75.0,70.0,38,24,76,60,42,35,32,28,58,55,34,53,54,73,61,59,75,32,82,45,85,76,33,41,36,63.0,74,76,72,11,11,15,15,12,,49+2,49+2,49+2,44,46,46,46,44,47+2,47+2,47+2,45+2,53+2,53+2,53+2,45+2,58+2,66+2,66+2,66+2,58+2,62+2,74,74,74,62+2,19+2
2287,Ángel,74,74,74.0,Spain,RCD Mallorca,Right,3,3,172,Medium,Medium,€1.8M,€18K,177633,56,76,70,72,77,74,62,57,49,75,69,69,71,75,75,76,75,51,68,72,72,26,77,62,69,70,42,23,20,6,13,8,14,11,177633,/player/177633/angel-luis-rodriguez-diaz/230002,23.0,2.0,2022-09-26,Ángel,Ángel Luís Rodríguez Díaz,"ST, CAM",74,74,1800000.0,18000.0,35,1987-04-26,172,68,453.0,Mallorca,53.0,La Liga,1.0,SUB,22.0,,2021-07-02,2023.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,4000000.0,,Finesse Shot,69.0,75.0,62.0,74.0,34.0,65.0,56,76,70,72,77,74,62,57,49,75,69,69,71,75,75,76,75,51,68,72,72,26,77,62,69,70.0,42,23,20,6,13,8,14,11,,74,74,74,71,73,73,73,71,71+2,71+2,71+2,69+2,63+2,63+2,63+2,69+2,51+2,51+2,51+2,51+2,51+2,48+2,48+2,48+2,48+2,48+2,18+2
2288,A. Masina,74,74,74.0,Morocco,Udinese Calcio,Left,3,3,191,Medium,High,€3.8M,€15K,225410,74,30,73,69,37,69,64,35,70,73,64,79,63,69,42,63,64,70,75,46,66,72,58,60,31,72,69,75,76,14,14,13,7,6,225410,/player/225410/adam-masina/230002,23.0,2.0,2022-09-26,A. Masina,Adam Masina,"LWB, LM, LB",74,74,3800000.0,15000.0,28,1994-01-02,191,87,55.0,Udinese,31.0,Serie A,1.0,SUB,3.0,,2022-07-19,2025.0,129,Morocco,111111.0,LB,3.0,Left,3,3,1,Medium/High,Normal (185+),Yes,6500000.0,,Dives Into Tackles (AI),72.0,42.0,66.0,68.0,73.0,71.0,74,30,73,69,37,69,64,35,70,73,64,79,63,69,42,63,64,70,75,46,66,72,58,60,31,72.0,69,75,76,14,14,13,7,6,,60+2,60+2,60+2,64,62,62,62,64,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,17+2
2289,G. Biancone,70,78,74.0,France,Nottingham Forest,Right,4,3,187,High,Medium,€3.3M,€23K,246679,70,29,68,67,35,66,66,44,58,70,64,72,54,66,56,62,67,75,78,59,70,65,62,51,48,66,68,72,71,8,14,11,8,9,246679,/player/246679/giulian-biancone/230002,23.0,2.0,2022-09-26,G. Biancone,Giulian Biancone,"CB, RWB, LWB",70,78,3300000.0,23000.0,22,2000-03-31,187,79,14.0,Nottingham Forest,13.0,Premier League,1.0,SUB,2.0,,2022-07-03,2025.0,18,France,,,,Right,4,3,1,High/Medium,Normal (185+),No,6900000.0,,Early Crosser,68.0,45.0,62.0,66.0,69.0,75.0,70,29,68,67,35,66,66,44,58,70,64,72,54,66,56,62,67,75,78,59,70,65,62,51,48,66.0,68,72,71,8,14,11,8,9,,59+2,59+2,59+2,62,61,61,61,62,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,69+2,67+2,67+2,67+2,69+2,69+2,70+2,70+2,70+2,69+2,16+2
2290,M. Veljković,73,75,74.0,Serbia,SV Werder Bremen,Right,3,2,188,Medium,Medium,€3.3M,€18K,221354,43,27,76,67,30,51,31,24,62,66,52,45,58,75,64,45,83,67,78,31,67,74,37,44,37,73,71,75,73,15,7,15,11,11,221354,/player/221354/milos-veljkovic/230002,23.0,2.0,2022-09-26,M. Veljković,Miloš Veljković,CB,73,75,3300000.0,18000.0,26,1995-09-26,188,85,38.0,Werder Bremen,19.0,Bundesliga,1.0,CB,13.0,,2016-02-01,2025.0,51,Serbia,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,6200000.0,,Long Passer (AI),48.0,33.0,53.0,59.0,74.0,73.0,43,27,76,67,30,51,31,24,62,66,52,45,58,75,64,45,83,67,78,31,67,74,37,44,37,73.0,71,75,73,15,7,15,11,11,,51+2,51+2,51+2,51,51,51,51,51,53+2,53+2,53+2,54+2,59+2,59+2,59+2,54+2,65+2,69+2,69+2,69+2,65+2,66+2,73+2,73+2,73+2,66+2,18+2
2291,M. Tel,64,84,74.0,France,FC Bayern München,Right,3,3,183,Medium,Medium,€1.6M,€2K,268421,53,60,52,63,57,73,58,52,56,68,78,76,73,58,74,72,61,50,67,61,44,17,61,60,56,65,21,26,31,12,9,15,7,11,268421,/player/268421/mathys-tel/230002,23.0,2.0,2022-09-26,M. Tel,Mathys Tel,"ST, LM, CF",64,84,1600000.0,2000.0,17,2005-04-27,183,77,21.0,FC Bayern München,19.0,Bundesliga,1.0,SUB,39.0,,2022-07-26,2027.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4200000.0,,,77.0,62.0,59.0,70.0,26.0,58.0,53,60,52,63,57,73,58,52,56,68,78,76,73,58,74,72,61,50,67,61,44,17,61,60,56,65.0,21,26,31,12,9,15,7,11,,64+2,64+2,64+2,65,65,65,65,65,65+2,65+2,65+2,64+2,58+2,58+2,58+2,64+2,47+2,45+2,45+2,45+2,47+2,45+2,40+2,40+2,40+2,45+2,15+2
2292,J. Sambia,73,75,74.0,France,US Salernitana 1919,Right,4,3,185,High,Medium,€3.5M,€19K,223570,74,64,62,71,59,74,73,76,69,72,69,76,76,67,69,85,78,76,68,71,63,70,68,68,59,69,66,73,68,9,11,14,11,16,223570,/player/223570/junior-sambia/230002,23.0,2.0,2022-09-26,J. Sambia,Salomon Junior Sambia,"RWB, RB, RM",73,75,3500000.0,19000.0,25,1996-09-07,185,73,110373.0,Salernitana,31.0,Serie A,1.0,SUB,6.0,,2022-07-19,2026.0,18,France,,,,Right,4,3,1,High/Medium,Lean (185+),No,6600000.0,,Power Free-Kick,73.0,69.0,71.0,73.0,69.0,70.0,74,64,62,71,59,74,73,76,69,72,69,76,76,67,69,85,78,76,68,71,63,70,68,68,59,69.0,66,73,68,9,11,14,11,16,,70+2,70+2,70+2,71,70,70,70,71,70+2,70+2,70+2,71+2,70+2,70+2,70+2,71+2,71+2,70+2,70+2,70+2,71+2,71+2,69+2,69+2,69+2,71+2,18+2
2293,Bigas,74,74,74.0,Spain,Elche CF,Left,2,2,181,Medium,High,€2.9M,€16K,206222,68,49,73,76,44,55,46,43,69,66,63,62,62,69,64,62,78,61,72,47,82,72,61,45,48,67,75,77,72,15,14,9,13,11,206222,/player/206222/pedro-bigas-rigo/230002,23.0,2.0,2022-09-26,Bigas,Pedro Bigas Rigo,"CB, LB",74,74,2900000.0,16000.0,31,1990-09-15,181,78,468.0,Elche,53.0,La Liga 2,1.0,LCB,6.0,,2021-07-07,2023.0,45,Spain,,,,Left,2,2,1,Medium/High,Normal (170-185),Yes,6400000.0,,Injury Prone,62.0,52.0,64.0,61.0,75.0,72.0,68,49,73,76,44,55,46,43,69,66,63,62,62,69,64,62,78,61,72,47,82,72,61,45,48,67.0,75,77,72,15,14,9,13,11,,62+2,62+2,62+2,61,60,60,60,61,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,69+2,71+2,71+2,71+2,69+2,70+2,74,74,74,70+2,19+2
